CODE_TIERS_EDI,CODE_ARTICLE,FAMILLE,SS_FAMILLE,LIBELLE,UNITE,NUM_CPT,
CHAMP_CERE,0000000000,000,000,CVO,EA,6340000,Taxes sur production
CHAMP_CERE,0000000220,000,000,INDEMNITÉS O,EA,7420000,Indemnités assurances
CHAMP_CERE,0000002720,000,000,COLZA H HYBR,NAR,6012000,Semences
CHAMP_CERE,0000003031,000,000,FETUQUE DES,EA,6012000,Semences
CHAMP_CERE,0000003032,000,000,RGA SUCRAL E,EA,6012000,Semences
CHAMP_CERE,0000003033,000,000,LUZERNE PRUN,EA,6012000,Semences
CHAMP_CERE,0000003034,000,000,TREFLE INCAR,EA,6012000,Semences
CHAMP_CERE,0000003035,000,000,VESCES PRINT,EA,6012000,Semences
CHAMP_CERE,0000003036,303,621,MEL PRAIRIE,EA,6012000,Semences
CHAMP_CERE,0000003037,303,721,MOUTARDE OR,EA,6012000,Semences
CHAMP_CERE,0000003039,303,921,MEL CHLOROFI,EA,6012000,Semences
CHAMP_CERE,0000005000,000,000,POULET POULE,TNE,6014000,Aliments
CHAMP_CERE,0000005051,000,000,PULPES BETTE,TNE,6014000,Aliments
CHAMP_CERE,0000005052,000,000,FEDAGNAUBE E,TNE,6014000,Aliments
CHAMP_CERE,0000005053,000,000,CAIRE 25% PO,EA,6014000,Aliments
CHAMP_CERE,0000005054,000,000,DESTRIER CLU,EA,6014000,Aliments
CHAMP_CERE,0000005055,000,000,POUSSIN CANE,EA,6014000,Aliments
CHAMP_CERE,0000005056,000,000,CROC FORME C,EA,6014000,Aliments
CHAMP_CERE,0000006000,600,000,SOLUTION AZO,TNE,6011000,Engrais et amendements
CHAMP_CERE,0000006060,000,000,TERREAU UNIV,NAR,6011000,Engrais et amendements
CHAMP_CERE,0000006063,000,000,PHYSALG 0-20,TNE,6011000,Engrais et amendements
CHAMP_CERE,0000006067,000,000,NOURIFERT TO,TNE,6011000,Engrais et amendements
CHAMP_CERE,0000006100,000,000,00-28-20 VRA,TNE,6011000,Engrais et amendements
CHAMP_CERE,0000006206,620,600,AMMONITRATE,TNE,6011000,Engrais et amendements
CHAMP_CERE,0000006300,630,025,SULFATE AMMO,TNE,6011000,Engrais et amendements
CHAMP_CERE,0000006999,000,000,VINASSE DE M,TNE,6011000,Engrais et amendements
CHAMP_CERE,0000007070,000,000,KARATE XPRES,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,0000007071,000,000,BRENNUS PLUS,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,0000007072,707,273,BUGGY 360 PO,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,0000007073,000,000,BREF C EN 20,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,0000007074,000,000,MAGISEM TDS,NAR,6013000,Produits de santé des végétaux
CHAMP_CERE,0000007075,707,500,HUILE ACTIRO,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,0000007076,000,000,CELEST NET E,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,0000007077,000,000,FOLIAREL LIQ,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,0000007078,000,000,VEGENET EN 5,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,0000007100,000,000,PLASTOSTAND.,EA,6023000,Fournitures magasin atelier
CHAMP_CERE,0000007170,000,000,FILM ETIRABL,NAR,6027000,Autres fournitures consommables
CHAMP_CERE,0000007171,000,000,ROUL PLAST N,NAR,6027000,Autres fournitures consommables
CHAMP_CERE,0000007172,000,000,AIR BUSE (AX,NAR,6068000,Autres fournitures non stockables
CHAMP_CERE,0000007173,000,000,CUVETTE JAUN,NAR,6027000,Autres fournitures consommables
CHAMP_CERE,0000007270,000,000,TERRE DE BRU,NAR,6011000,Engrais et amendements
CHAMP_CERE,0000007800,000,000,BP SUPERCONF,EA,6021000,Achats de fuel stocké
CHAMP_CERE,0000007802,780,200,SACHE EVPP E,NAR,6017000,Achats emballages
CHAMP_CERE,0000007803,780,300,PALETTE COPA,NAR,6017000,Achats emballages
CHAMP_CERE,0000009900,000,000,TRANSPORT CO,TNE,6051000,Prestations de services vegetaux
CHAMP_CERE,0000009901,000,000,METEO PLEIN,EA,6017000,Achats emballages
CHAMP_CERE,02702785T,SCE,,SOJA AMPHOR R1,DOS,6012000,Semences
CHAMP_CERE,02703675T,SCE,,SOJA MERLIN R1,DOS,6012000,Semences
CHAMP_CERE,02703965T,SCE,,SOJA ES MENTOR R1,DOS,6012000,Semences
CHAMP_CERE,02704074T,SCE,,SOJA PROTEIX SB,DOS,6012000,Semences
CHAMP_CERE,02704075T,SCE,,SOJA PROTEIX R1,DOS,6012000,Semences
CHAMP_CERE,02704244T,SCE,,SOJA ES SENATOR SB,DOS,6012000,Semences
CHAMP_CERE,02704245T,SCE,,SOJA ES SENATOR R1,DOS,6012000,Semences
CHAMP_CERE,02704305T,SCE,,SOJA PETRINA R1,DOS,6012000,Semences
CHAMP_CERE,02704324T,SCE,,SOJA SIRELIA SB,DOS,6012000,Semences
CHAMP_CERE,02704325T,SCE,,SOJA SIRELIA R1,DOS,6012000,Semences
CHAMP_CERE,02704534T,SCE,,SOJA ES NAVIGATOR SB,DOS,6012000,Semences
CHAMP_CERE,02704665T,SCE,,SOJA HERTA PZO R1,DOS,6012000,Semences
CHAMP_CERE,02704665TB,SCE,,SOJA HERTA PZO R1 BIO,DOS,6012000,Semences
CHAMP_CERE,02704784T,SCE,,SOJA RGT STUMPA SB,DOS,6012000,Semences
CHAMP_CERE,02704785T,SCE,,SOJA RGT STUMPA R1,DOS,6012000,Semences
CHAMP_CERE,03404995T,SCE,,BLE DUR FABULIS R1,KK,6012000,Semences
CHAMP_CERE,03801925T,,,SEIGLE MARCELO R1,KK,6012000,Semences
CHAMP_CERE,03802715T,SCE,,SEIGLE D.RUBIN R1,KK,6012000,Semences
CHAMP_CERE,03803015T,SCE,,SEIGLE OVID R1,KK,6012000,Semences
CHAMP_CERE,03901205TB,SCE,,TRITICALE BIENVENU BIO R1,KK,6012000,Semences
CHAMP_CERE,03901815T,,,TRITICALE TRISKELL R1,NAR,6012000,Semences
CHAMP_CERE,03901925TB,SCE,,TRITICALE APRIM R1 BIO,TT,6012000,Semences
CHAMP_CERE,03902155T,SCE,,TRITICALE DUBLET R1,KK,6012000,Semences
CHAMP_CERE,03902155TB,SCE,,TRITICALE DUBLET R1 BIO,KK,6012000,Semences
CHAMP_CERE,03902165T,SCE,,TRITICALE CONSTANT R1,KK,6012000,Semences
CHAMP_CERE,03902165TB,SCE,,TRITICALE CONSTANT R1 BIO,KK,6012000,Semences
CHAMP_CERE,03902804T,SCE,,TRITICALE QUATREVENT SB,KK,6012000,Semences
CHAMP_CERE,03902805T,SCE,,TRITICALE QUATREVENT R1,DOS,6012000,Semences
CHAMP_CERE,03902855TB,SCE,,TRITICALE COSINUS R1 BIO,KK,6012000,Semences
CHAMP_CERE,03902925TB,SCE,,TRITICALE VUKA BIO R1,KK,6012000,Semences
CHAMP_CERE,03903155TB,SCE,,TRITICALE TULUS R1 BIO,KK,6012000,Semences
CHAMP_CERE,03903184T,SCE,,TRITICALE KAULOS SB,TT,6012000,Semences
CHAMP_CERE,03903185T,SCE,,TRITICALE KAULOS R1,DOS,6012000,Semences
CHAMP_CERE,03903274T,SCE,,TRITICALE EXAGON SB,KK,6012000,Semences
CHAMP_CERE,03903274TB,SCE,,TRITICALE EXAGON BIO SB,KK,6012000,Semences
CHAMP_CERE,03903275T,SCE,,TRITICALE EXAGON R1,DOS,6012000,Semences
CHAMP_CERE,03903275TB,SCE,,TRITICALE EXAGON BIO R1,KK,6012000,Semences
CHAMP_CERE,03903525T,SCE,,TRITICALE MASSIMO R1,KK,6012000,Semences
CHAMP_CERE,03903755TB,SCE,,TRITICALE BIKINI BIO R1,KK,6012000,Semences
CHAMP_CERE,03903915T,SCE,,TRITICALE RGT ELEAC R1,DOS,6012000,Semences
CHAMP_CERE,04000015TB,SCE,,SARRASIN HARPE R1 BIO,KK,6012000,Semences
CHAMP_CERE,04100075T,SCE,,EPEAUTRE ALKOR R1,KK,6012000,Semences
CHAMP_CERE,04100075TB,SCE,,EPEAUTRE ALKOR R1 BIO,KK,6012000,Semences
CHAMP_CERE,04100085TB,SCE,,EP OBERKULMER ROTKORN R1 BIO,KK,6012000,Semences
CHAMP_CERE,04100095TB,SCE,,EPEAUTRE ZOLLERNSPELZ R1 BIO,KK,6012000,Semences
CHAMP_CERE,05605773T,SCE,,RAY GR. ANGL. BLUMA M3,KK,6012000,Semences
CHAMP_CERE,05607514T,SCE,,RAY GR. ANGL. OZIA SB,KK,6012000,Semences
CHAMP_CERE,05608173T,SCE,,RAY GR. ANGL.INDRA M3,KK,6012000,Semences
CHAMP_CERE,05608203T,SCE,,RAY GR. ANGL. SORAYA M3,KK,6012000,Semences
CHAMP_CERE,05608204T,SCE,,RAY GR. ANGL. SORAYA SB,KK,6012000,Semences
CHAMP_CERE,06121744T,SCE,,LUZERNE VOLGA SB,KK,6012000,Semences
CHAMP_CERE,06201094T,SCE,,TREFLE INCARNAT CARMINA SB,KK,6012000,Semences
CHAMP_CERE,06201244T,SCE,,TREFLE INCARNAT CAMAURO SB,KK,6012000,Semences
CHAMP_CERE,06401223T,SCE,,TREFLE VIOLET MERVIOT M3,KK,6012000,Semences
CHAMP_CERE,06401224T,SCE,,TREFLE VIOLET MERVIOT SB,KK,6012000,Semences
CHAMP_CERE,06420304T,SCE,,TREFLE VIOLET ATLANTIS SB,KK,6012000,Semences
CHAMP_CERE,06420643T,SCE,,TREFLE VIOLET SANGRIA M3,KK,6012000,Semences
CHAMP_CERE,06420644T,SCE,,TREFLE VIOLET SANGRIA SB,KK,6012000,Semences
CHAMP_CERE,06420674T,SCE,,TREFLE VIOLET PASTOR SB,KK,6012000,Semences
CHAMP_CERE,07000113T,SCE,,FEVEROLE DIANA M3,KK,6012000,Semences
CHAMP_CERE,07000114T,SCE,,FEVEROLE DIANA SB,KK,6012000,Semences
CHAMP_CERE,07000115T,SCE,,FEVEROLE DIANA R1,KK,6012000,Semences
CHAMP_CERE,07000245T,SCE,,FEVEROLE HIVERNA R1,KK,6012000,Semences
CHAMP_CERE,07001215TB,SCE,,FEVEROLE MELODIE BIO R1,KK,6012000,Semences
CHAMP_CERE,07001265TB,SCE,,FEVEROLE IRENA R1 BIO,KK,6012000,Semences
CHAMP_CERE,07001275T,SCE,,FEVEROLE DIVA R1,KK,6012000,Semences
CHAMP_CERE,07001275TB,SCE,,FEVEROLE DIVA R1 BIO,KK,6012000,Semences
CHAMP_CERE,07001465T,SCE,,FEVEROLE LADY R1,KK,6012000,Semences
CHAMP_CERE,07001534T,SCE,,FEVEROLE ESPRESSO SB,KK,6012000,Semences
CHAMP_CERE,07001535T,SCE,,FEVEROLE ESPRESSO R1,DOS,6012000,Semences
CHAMP_CERE,07001925T,SCE,,FEVEROLE FUEGO R1,KK,6012000,Semences
CHAMP_CERE,07001965T,SCE,,FEVEROLE AXEL R1,KK,6012000,Semences
CHAMP_CERE,07001994T,SCE,,FEVEROLES FANFARE SB,KK,6012000,Semences
CHAMP_CERE,07001995T,SCE,,FEVEROLES FANFARE R1,DOS,6012000,Semences
CHAMP_CERE,07002014T,SCE,,FEVEROLE TIFFANY SB,DOS,6012000,Semences
CHAMP_CERE,07002015T,SCE,,FEVEROLE TIFFANY R1,DOS,6012000,Semences
CHAMP_CERE,07002015TB,SCE,,FEVEROLE TIFFANY BIO R1,KK,6012000,Semences
CHAMP_CERE,07002016TB,SCE,,FEVEROLE TIFFANY BIO R2,KK,6012000,Semences
CHAMP_CERE,07101064T,SCE,,POIS FOURRAG ARKTA SB,KK,6012000,Semences
CHAMP_CERE,07300394T,SCE,,VESCES BERNINOVA SB,KK,6012000,Semences
CHAMP_CERE,07300444T,SCE,,VESCES CATARINA SB,KK,6012000,Semences
CHAMP_CERE,07301104T,SCE,,VESCES JADE SB,KK,6012000,Semences
CHAMP_CERE,07301114T,SCE,,VESCES CARAVELLE SB,KK,6012000,Semences
CHAMP_CERE,07301294T,SCE,,VESCES CANDY SB,KK,6012000,Semences
CHAMP_CERE,07301324T,SCE,,VESCES NACRE SB,KK,6012000,Semences
CHAMP_CERE,07301344T,SCE,,VESCES RUBIS SB,KK,6012000,Semences
CHAMP_CERE,07301364T,SCE,,VESCES SPIDO SB,KK,6012000,Semences
