"name","centralizing B","debtor B","fr_pcg2019","fr_pcg82","fr_pcga","pt_snc","fr_pcg2023","fr_pcga2023","trad_fr_pcg2023","trad_fr_pcga2023",,,"fr_pcg2019-8"
"capitals",,,1,1,1,50000000,,,,,7,"0000000","10000000"
"capital",,,101,101,101,,,,,,5,"00000","10100000"
"initial_individual_capital",,,1011,1011,1011,,,,,,4,"0000","10110000"
"initial_individual_capital_variations",,,1012,1012,1012,,,,,,4,"0000","10120000"
"initial_individual_capital_variations_deposit",,,"NONE","NONE","NONE",,1013,1013,"Capital souscrit – appelé versé","Capital souscrit – appelé versé",4,"0000","NONE0000"
"initial_society_capital",,,1015,1015,1015,,,,,,4,"0000","10150000"
"initial_society_capital_special",,,"NONE","NONE","NONE",,1018,1018,"Capital souscrit soumis à des réglementations particulières","Capital souscrit soumis à des réglementations particulières",,,
"fiduciary_funds",,,"NONE","NONE","NONE",,102,102,"Fonds fiduciaires","Fonds fiduciaires",,,
"share_capital_bonus",,,104,104,104,,,,,,5,"00000","10400000"
"share_capital_bonus_emit",,,"NONE","NONE","NONE",,1041,1041,"Primes d'émission","Primes d'émission",,,
"share_capital_bonus_fusion",,,"NONE","NONE","NONE",,1042,1042,"Primes de fusion","Primes de fusion",,,
"share_capital_bonus_given",,,"NONE","NONE","NONE",,1043,1043,"Primes d'apport","Primes d'apport",,,
"share_capital_bonus_conversion",,,"NONE","NONE","NONE",,1044,1044,"Primes de conversion d'obligations en actions","Primes de conversion d'obligations en actions",,,
"share_capital_bonus_ticket",,,"NONE","NONE","NONE",,1045,1045,"Bons de souscription d'actions","Bons de souscription d'actions",,,
"reevaluation_gaps",,,105,105,105,,,,,,5,"00000","10500000"
"reserves",,,106,106,106,,,,,,5,"00000","10600000"
"legal_reserves",,,1061,1061,1061,,,,,,4,"0000","10610000"
"statutory_or_contractual_reserves",,,1063,1063,1063,,,,,,4,"0000","10630000"
"tax_regulated_reserves",,,1064,1064,1064,,,,,,4,"0000","10640000"
"other_reserves",,,1068,1068,1068,,,,,,4,"0000","10680000"
"equivalence_gap",,,"NONE","NONE","NONE",,107,107,"Écart d'équivalence","Écart d'équivalence",,,
"owner_account",,,108,108,108,,,,,,5,"00000","10800000"
"initial_stockholder_capital_variations",,,"NONE","NONE","NONE",,109,109,"Actionnaires : Capital souscrit - non appelé","Actionnaires : Capital souscrit - non appelé",,,
"retained_earnings",,,11,11,11,,,,,,6,"000000","11000000"
"credit_retained_earnings",,,110,110,110,,,,,,5,"00000","11000000"
"debit_retained_earnings",,,119,119,119,,,,,,5,"00000","11900000"
"financial_year_result",,,12,12,12,,,,,,6,"000000","12000000"
"financial_year_result_profit",,,120,120,120,,,,,,5,"00000","12000000"
"financial_year_result_balance",,,128,128,128,,,,,,5,"00000","12800000"
"financial_year_result_loss",,,129,129,129,,,,,,5,"00000","12900000"
"equipment_subventions",,,131,131,131,,,,,,5,"00000","13100000"
"other_investment_subventions",,,138,138,138,,,,,,5,"00000","13800000"
