Activity,Family
Orge hiver,straw_cereal_crops
Orge printemps,straw_cereal_crops
Blé tendre,straw_cereal_crops
Blé dur,straw_cereal_crops
Maïs sec,maize_crops
Triticale,straw_cereal_crops
Jachère annuelle,fallow_land
Tournesol,oilseed_crops
Sorgho,meadow
Prairie temporaire et artificielle,meadow
Bovins lait,cattle_farming
Veau 8-15 J,cattle_farming
Vigne,vine_wine
Taurillons lait,cattle_farming
ADMINISTRATIF,exploitation
BATIMENT,exploitation
COMMERCIALISATION,sales
MECANISATION,exploitation
PERSONNEL,exploitation
