COPAIP;NUNATI;NUTRAV;NOBOVI;DANAIS;TYRASU;SEXBOV;CAUSEN;DATEEN;CAUSSO;DATESO
FR;1700024947;4947;;14/09/2011;56;M;N;14/09/2011;M;14/09/2011
FR;1700025446;5446;;11/11/2011;39;F;N;11/11/2011;M;11/11/2011
FR;1700025969;5969;;07/02/2012;56;F;N;07/02/2012;M;07/02/2012
FR;1700026352;6352;;13/04/2012;39;M;N;13/04/2012;M;13/04/2012
FR;1700027529;7529;;06/11/2012;56;M;N;06/11/2012;M;06/11/2012
FR;1700027776;7776;;21/12/2012;56;M;N;21/12/2012;M;21/12/2012
FR;1735138153;8153;ROME;25/11/2000;56;F;N;25/11/2000;B;01/06/2011
FR;1735138316;8316;USSEL;13/08/2003;56;F;N;13/08/2003;B;26/01/2012
FR;1700028328;8328;;03/04/2013;39;F;N;03/04/2013;M;03/04/2013
FR;1735138358;8358;VOLGA;02/06/2004;56;F;N;02/06/2004;B;07/03/2013
FR;1735138368;8368;VIBRAYE;20/08/2004;56;F;N;20/08/2004;B;23/12/2013
FR;1735138372;8372;VANILLE;03/09/2004;56;F;N;03/09/2004;B;21/09/2011
FR;1735138388;8388;VIOLENTE;15/10/2004;56;F;N;15/10/2004;B;07/06/2012
FR;1735138406;8406;VIRGINIE;08/12/2004;56;F;N;08/12/2004;B;11/04/2012
FR;1735138411;8411;ARROGANTE;05/01/2005;56;F;N;05/01/2005;B;17/11/2011
FR;1735138415;8415;ATHENES;18/01/2005;56;F;N;18/01/2005;B;07/12/2011
FR;1735138419;8419;ALICANTE;22/01/2005;56;F;N;22/01/2005;B;07/12/2011
FR;1735138440;8440;ANGEVINE;18/09/2005;56;F;N;18/09/2005;B;25/07/2012
FR;1735138451;8451;ASIE;17/10/2005;56;F;N;17/10/2005;B;28/11/2012
FR;1735138466;8466;ALSACE;27/11/2005;56;F;N;27/11/2005;;
FR;1735138472;8472;ALBANIE;12/12/2005;56;F;N;12/12/2005;C;05/12/2011
FR;1735138477;8477;BERGAME;07/01/2006;56;F;N;07/01/2006;B;30/05/2011
FR;1735138491;8491;BALTIQUE;22/08/2006;56;F;N;22/08/2006;B;30/05/2011
FR;1735138492;8492;BRIVE;23/08/2006;56;F;N;23/08/2006;B;23/12/2013
FR;1735138496;8496;BROTONNE;01/09/2006;56;F;N;01/09/2006;B;21/09/2011
FR;1735138504;8504;BECASSE;26/09/2006;56;F;N;26/09/2006;B;07/07/2011
FR;1735138505;8505;BEGUINE;07/10/2006;56;F;N;07/10/2006;B;13/08/2012
FR;1735138508;8508;BULGARIE;22/10/2006;56;F;N;22/10/2006;;
FR;1735138509;8509;BERGAMOTE;24/10/2006;56;F;N;24/10/2006;B;23/05/2012
FR;1735138519;8519;BASTIDE;21/11/2006;56;F;N;21/11/2006;B;21/04/2011
