Îlot	Campagne	Numéro	Nom	Surface (Ha)	Contour	Variante	RU	?	?	Type de sol
1	2013	P1	Petit champ	2,68	MULTIPOLYGON(((407256.989 6529291.381,407228.445 6529342.561,407273.051 6529421.056,407248.169 6529430.302,407280.649 6529497.007,407244.786 6529506.224,407216.324 6529455.522,407137.385 6529447.238,407113.997 6529525.383,407113.168 6529536.38,407135.155 6529537.118,407139.973 6529525.169,407154.09 6529529.979,407161.172 6529541.94,407169.222 6529559.849,407178.164 6529575.571,407244.306 6529545.154,407252.237 6529563.173,407260.364 6529577.065,407307.085 6529551.733,407293.928 6529523.905,407359.676 6529501.394,407256.989 6529291.381)))	clay_limestone_land_parcel	100			33 % Groies + 66 % Doucins
2	2013	P2	Grand champs	5,13	MULTIPOLYGON(((407089.249 6529788.297,407113.095 6529778.14,407131.001 6529771.009,407149.929 6529761.811,407157.998 6529768.729,407162.152 6529786.669,407161.32 6529810.705,407167.491 6529823.593,407195.417 6529822.445,407234.248 6529812.055,407267.011 6529787.866,407286.812 6529759.658,407311.44 6529719.501,407314.131 6529684.569,407313.9 6529656.525,407291.683 6529627.753,407276.687 6529627.876,407246.956 6529645.175,407232.886 6529646.2,407215.975 6529650.346,407203.76 6529626.527,407174.512 6529590.818,407162.19 6529553.952,407157.207 6529547.009,407129.138 6529544.152,407100.227 6529549.425,407080.321 6529551.537,407070.325 6529560.661,407055.649 6529599.697,407052.754 6529609.792,407038.928 6529625.822,407031.129 6529651.864,407031.342 6529677.849,407041.638 6529719.778,407056.011 6529754.57,407071.203 6529779.513,407089.249 6529788.297)))	clay_limestone_land_parcel	100			33 % Groies + 66 % Doucins
3	2013	P3	Champ Bousseau	1,37	MULTIPOLYGON(((405757.137 6531943.331,405787.288 6531977.084,405802.178 6531964.023,405821.979 6531935.815,405654.411 6531728.402,405645.574 6531753.433,405631.839 6531780.552,405757.137 6531943.331)))	clay_limestone_land_parcel	70			100 % Groies
4	2013	P4	Raguenaud	0,61	MULTIPOLYGON(((405673.109 6531691.271,405692.998 6531687.101,405725.957 6531686.83,405754.948 6531676.641,405785.777 6531666.427,405711.112 6531580.045,405673.109 6531691.271)))	clay_limestone_land_parcel	70			100 % Groies
5	2013	P5	Le Terrier	1,19	MULTIPOLYGON(((405641.975 6531425.737,405609.67 6531506.932,405600.809 6531528.976,405557.763 6531639.334,405577.826 6531643.066,405603.729 6531633.921,405624.572 6531620.701,405689.188 6531460.379,405687.049 6531450.436,405641.975 6531425.737)))	clay_limestone_land_parcel	80			100 % Groies
6	2013	P6	Enclouse des châtaigniers	9,36	MULTIPOLYGON(((405260.571 6531684.396,405325.718 6531746.063,405353.019 6531803.162,405376.172 6531949.329,405337.747 6532022.822,405499.029 6532058.087,405537.322 6531952.23,405638.433 6531656.901,405578.624 6531651.294,405532.212 6531643.138,405501.652 6531634.851,405412.626 6531635.582,405324.887 6531644.84,405260.571 6531684.396)))	flap_silt_land_parcel	90			100 %limon battant
7	2013	P7	Bois Granger	4,27	MULTIPOLYGON(((405500.347 6532063.337,405333.168 6532028.771,405315.54 6532070.929,405289.099 6532141.086,405264.522 6532186.268,405244.834 6532228.324,405241.058 6532256.4,405250.329 6532284.26,405267.435 6532305.061,405303.639 6532322.738,405338.597 6532327.487,405346.602 6532326.392,405353.256 6532287.421,405351.096 6532260.423,405362.56 6532207.444,405450.607 6532223.657,405500.347 6532063.337)))	flap_silt_land_parcel	100			100 %limon battant
8	2013	P8	Orme 5 têtes 1	3,55	POLYGON((406260.994 6532469.753,406191.136 6532416.394,406080.846 6532334.141,406079.541 6532333.373,406078.619 6532333.041,406078.455 6532333.771,406056.776 6532426.439,406036.564 6532516.577,406228.533788521 6532613.52458419,406244.048 6532593.865,406269.769 6532562.63,406283.547 6532539.507,406280.488 6532529.571,406266.157 6532498.676,406260.994 6532469.753))	flap_silt_land_parcel	50			100 %limon battant
8	2013	P9	Orme 5 têtes 2	3,5	POLYGON((406228.533788521 6532613.52458419,406036.564 6532516.577,406023.894 6532562.701,406005.282 6532595.825,405975.725 6532640.506,406015.67 6532671.513,406016.065 6532671.802,406016.192 6532671.917,406023.36 6532677.483,406108.409 6532748.815,406121.224 6532733.723,406144.126 6532720.486,406228.533788521 6532613.52458419))	flap_silt_land_parcel	50	chailloux		100 %limon battant
8	2013	P10	Chaumasse	3,3	POLYGON((406244.048 6532593.865,406144.126 6532720.486,406155.222 6532733.444,406196.645 6532788.046,406217.89 6532823.81,406245.241 6532864.57,406263.393 6532887.431,406283.302 6532872.27,406296.083 6532853.162,406311.022 6532846.055,406346.77 6532822.752,406344.502 6532783.854,406330.356 6532760.96,406334.338 6532757.95,406346.22 6532755.794,406359.013 6532749.462,406267.166 6532621.601,406244.048 6532593.865))	clay_limestone_land_parcel	40			100 % Groies
8	2013	P11	Parcours	0,41	POLYGON((406191.136 6532416.394,406260.994 6532469.753,406238.631 6532421.979,406240.423 6532402.96,406255.278 6532386.922,406274.215 6532378.754,406296.088 6532365.645,406303.087 6532367.526,406310.071 6532367.469,406315.04 6532359.415,406318.891 6532340.39,406289.772 6532321.625,406272.62 6532309.857,406272.511 6532309.977,406272.581 6532310.027,406272.533 6532310.257,406272.132 6532311.299,406271.324 6532312.635,406191.136 6532416.394))	clay_limestone_land_parcel	40			100 % Groies
9	2013	P12	Grand pièce	4,8	POLYGON((405121.539 6531934.582,405358.594 6531961.601,405362.477 6531946.572,405357.016 6531894.762,405336.252 6531790.992,405312.89 6531748.152,405271.622 6531713.571,405245.417 6531685.86,405213.608 6531702.028,405155.648 6531710.516,405098.655 6531698.056,405039.628 6531688.459,404938.567 6531676.36,404945.746 6531700.22,404944.983 6531719.23,404943.106 6531741.226,404940.317 6531764.259,404937.562 6531791.288,404935.667 6531811.227,404924.119 6531855.273,404917.562 6531907.302,405116.616 6531933.713,405121.539 6531934.582))	flap_silt_land_parcel	100	le long de la route de St sulpice		100 %limon battant
9	2013	P13	Le Renanbrie	7,72	POLYGON((405358.594 6531961.601,405121.539 6531934.582,405130.626 6532065.464,405142.714 6532199.178,405191.864 6532217.768,405230.909 6532233.474,405254.634 6532195.282,405287.996 6532132.053,405317.381 6532057.866,405334.967 6532011.811,405358.594 6531961.601))	flap_silt_land_parcel	100			100 %limon battant
9	2013	P14	Poteau EDF	4,5	POLYGON((405116.616 6531933.713,404917.562 6531907.302,404922.118 6531974.226,404932.415 6532015.116,404934.724 6532059.059,405126.619 6532065.377,405116.616 6531933.713))	flap_silt_land_parcel	100			100 %limon battant
10	2013	P15	Le silo	2,4	MULTIPOLYGON(((407157.054 6531843.003,407140.098 6531855.052,407039.233 6531726.992,407008.41 6531751.285,407109.37 6531876.366,407096.395 6531885.405,407157.874 6531942.82,407145.954 6531954.937,407187.23 6531990.537,407227.452 6532024.207,407280.551 6531923.838,407181.871 6531825.744,407157.054 6531843.003)))	clay_limestone_land_parcel	50			100 % Groies
11	2013	P16	Les Aiguilles	2,34	MULTIPOLYGON(((407216.531 6532046.443,407174.424 6532121.341,407221.455 6532143.183,407294.578 6532169.599,407409.181 6532211.891,407411.252 6532208.367,407443.998 6532152.651,407411.252 6532208.366,407410.926 6532208.165,407443.998 6532152.651,407458.941 6532127.225,407229.982 6532050.906,407216.531 6532046.443)))	clay_limestone_land_parcel	50			100 % Groies
13	2013	P17	Champ guillon (1)	1,88	MULTIPOLYGON(((407806.777 6532846.712,407856.265 6532817.443,407835.363 6532800.577,407834.315 6532799.546,407830.268 6532794.544,407791.905 6532749.988,407830.668 6532716.708,407884.216 6532672.306,407852.312 6532636.936,407789.119 6532688.826,407776.275 6532672.899,407698.957 6532736.793,407740.163 6532778.348,407712.575 6532819.549,407738.693 6532835.361,407761.832 6532851.087,407782.814 6532855.951,407792.783 6532856.898,407806.777 6532846.712)))	clay_limestone_land_parcel	50			100 % Groies
14	2013	P18	Bernessard	6	POLYGON((409536.091 6533925.561,409382.972 6533776.979,409321.338 6533812.514,409277.6 6533839.77,409252.785 6533856,409232.048 6533882.158,409207.195 6533908.35,409252.445 6533939.91,409279.72 6533972.658,409296.944 6534006.507,409314.293 6534042.313,409328.416 6534061.201,409351.621 6534084.929,409371.697 6534104.797,409383.904 6534127.707,409406.236 6534170.446,409463.008 6534156.012,409491.928 6534151.768,409456.611 6534102.151,409437.543 6534094.295,409411.204 6534051.469,409425.081 6534040.374,409449.951 6534016.241,409456.992 6534023.167,409485.766 6533999.92,409473.649 6533988.12,409523.161 6533926.696,409536.091 6533925.561))	silt_land_parcel	80			100 % Terre de limon
